mode,top,name,acc,type,layout
place,4,czt,0.513196481,general,qwerty
hover,0,czt,0.422018349,general,qwerty
hover,1,czt,0.525993884,general,qwerty
hover,2,czt,0.605504587,general,qwerty
hover,3,czt,0.654434251,general,qwerty
hover,4,czt,0.688073394,general,qwerty
place,0,gsh,0.874617737,general,qwerty
place,1,gsh,0.935779817,general,qwerty
place,2,gsh,0.972477064,general,qwerty
place,3,gsh,0.972477064,general,qwerty
place,4,gsh,0.978593272,general,qwerty
hover,0,gsh,0.827380952,general,qwerty
hover,1,gsh,0.898809524,general,qwerty
hover,2,gsh,0.943452381,general,qwerty
hover,3,gsh,0.961309524,general,qwerty
hover,4,gsh,0.970238095,general,qwerty
place,0,fsq,0.324483776,general,qwerty
place,1,fsq,0.433628319,general,qwerty
place,2,fsq,0.495575221,general,qwerty
place,3,fsq,0.569321534,general,qwerty
place,4,fsq,0.598820059,general,qwerty
hover,0,fsq,0.687134503,general,qwerty
hover,1,fsq,0.815789474,general,qwerty
hover,2,fsq,0.862573099,general,qwerty
hover,3,fsq,0.888888889,general,qwerty
hover,4,fsq,0.906432749,general,qwerty
