mode,top,name,acc,k
place,4,lc,0.870967742,0.7
hover,0,lc,0.773809524,0.7
hover,1,lc,0.869047619,0.7
hover,2,lc,0.922619048,0.7
hover,3,lc,0.93452381,0.7
hover,4,lc,0.952380952,0.7
place,0,lwk,0.695522388,0.7
place,1,lwk,0.823880597,0.7
place,2,lwk,0.889552239,0.7
place,3,lwk,0.919402985,0.7
place,4,lwk,0.928358209,0.7
hover,0,lwk,0.699386503,0.7
hover,1,lwk,0.828220859,0.7
hover,2,lwk,0.858895706,0.7
hover,3,lwk,0.892638037,0.7
hover,4,lwk,0.914110429,0.7
place,0,lxy,0.781538462,0.7
place,1,lxy,0.898461538,0.7
place,2,lxy,0.923076923,0.7
place,3,lxy,0.944615385,0.7
place,4,lxy,0.950769231,0.7
hover,0,lxy,0.837349398,0.7
hover,1,lxy,0.945783133,0.7
hover,2,lxy,0.96686747,0.7
hover,3,lxy,0.972891566,0.7
hover,4,lxy,0.975903614,0.7
place,0,qdn,0.705357143,0.7
place,1,qdn,0.797619048,0.7
place,2,qdn,0.833333333,0.7
place,3,qdn,0.848214286,0.7
place,4,qdn,0.854166667,0.7
hover,0,qdn,0.703264095,0.7
hover,1,qdn,0.81305638,0.7
hover,2,qdn,0.869436202,0.7
hover,3,qdn,0.893175074,0.7
hover,4,qdn,0.913946588,0.7
place,0,wyd,0.735465116,0.7
place,1,wyd,0.86627907,0.7
place,2,wyd,0.901162791,0.7
place,3,wyd,0.915697674,0.7
place,4,wyd,0.936046512,0.7
hover,0,wyd,0.768025078,0.7
hover,1,wyd,0.833855799,0.7
hover,2,wyd,0.880877743,0.7
hover,3,wyd,0.912225705,0.7
hover,4,wyd,0.931034483,0.7
place,0,czt,0.604105572,0.7
place,1,czt,0.73313783,0.7
place,2,czt,0.803519062,0.7
place,3,czt,0.832844575,0.7
place,4,czt,0.862170088,0.7
hover,0,czt,0.599388379,0.7
hover,1,czt,0.718654434,0.7
hover,2,czt,0.798165138,0.7
hover,3,czt,0.837920489,0.7
hover,4,czt,0.868501529,0.7
place,0,gsh,0.822629969,0.7
place,1,gsh,0.923547401,0.7
place,2,gsh,0.972477064,0.7
place,3,gsh,0.987767584,0.7
place,4,gsh,0.987767584,0.7
hover,0,gsh,0.845238095,0.7
hover,1,gsh,0.94047619,0.7
hover,2,gsh,0.979166667,0.7
hover,3,gsh,0.985119048,0.7
hover,4,gsh,0.988095238,0.7
place,0,fsq,0.651917404,0.7
place,1,fsq,0.778761062,0.7
